#tail	head	KSP index
P36897	O95863	301
O95863	P04637	301
P63104	P04637	301
P30153	P04637	301
P36897	P63151	306
P63151	Q9GZV5	306
P36873	Q9GZV5	306
P08047	P10275	309
P35222	P10275	309
P06493	P10275	309
P08047	P14921	326
P37173	P29353	330
P67775	O43524	330
P08047	P40763	348
P37173	O00459	348
P35222	P19838	348
P06493	P19793	348
P35222	Q13761	361
P06493	P04637	378
P37173	O95863	378
